"","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality","quality_disc"
"33",7.2,0.27,0.28,15.2,0.046,6,41,0.99665,3.17,0.39,10.9,6,"Media"
"34",5.2,0.405,0.15,1.45,0.038,10,44,0.99125,3.52,0.4,11.6,4,"Baja"
"35",6.7,0.27,0.33,3.6,0.034,9,45,0.99144,3.08,0.4,10.5,6,"Media"
"36",6.7,0.27,0.33,3.6,0.034,9,45,0.99144,3.08,0.4,10.5,6,"Media"
"37",8.4,0.32,0.35,11.7,0.029,3,46,0.99439,3.02,0.34,11.8,6,"Media"
"38",6.8,0.2,0.36,1.6,0.028,7,46,0.99175,3.21,0.6,10.9,6,"Media"
"39",5.6,0.18,0.29,2.3,0.04,5,47,0.99126,3.07,0.45,10.1,4,"Baja"
"40",5.9,0.29,0.32,1.4,0.022,17,47,0.9899,3.35,0.35,11.5,6,"Media"
"41",8.3,0.14,0.34,1.1,0.042,7,47,0.9934,3.47,0.4,10.2,6,"Media"
"42",7.8,0.21,0.49,1.35,0.052,6,48,0.9911,3.15,0.28,11.4,5,"Baja"
"43",8.1,0.2,0.3,1.3,0.036,7,49,0.99242,2.99,0.73,10.3,5,"Baja"
"44",8.1,0.2,0.3,1.3,0.036,7,49,0.99242,2.99,0.73,10.3,5,"Baja"
"45",5.6,0.27,0.37,0.9,0.025,11,49,0.98845,3.29,0.33,13.1,6,"Media"
"46",8.8,0.28,0.45,6,0.022,14,49,0.9934,3.01,0.33,11.1,7,"Alta"
"47",6.9,0.75,0.13,6.3,0.036,19,50,0.99312,3.09,0.25,11.1,4,"Baja"
"48",6,0.615,0.04,0.8,0.032,8,50,0.99036,3.14,0.4,11,4,"Baja"
"49",6,0.19,0.37,9.7,0.032,17,50,0.9932,3.08,0.66,12,6,"Media"
"50",5.3,0.43,0.11,1.1,0.029,6,51,0.99076,3.51,0.48,11.2,4,"Baja"
"51",5.4,0.15,0.32,2.5,0.037,10,51,0.98878,3.04,0.58,12.6,6,"Media"
"52",6.2,0.15,0.49,0.9,0.033,17,51,0.9932,3.3,0.7,9.4,6,"Media"
"53",9.6,0.21,0.28,1.2,0.038,12,53,0.9926,2.8,0.46,10.6,5,"Baja"
"54",5.6,0.41,0.24,1.9,0.034,10,53,0.98815,3.32,0.5,13.5,7,"Alta"
"55",6,0.2,0.71,1.6,0.15,10,54,0.9927,3.12,0.47,9.8,5,"Baja"
"56",7.1,0.14,0.33,1,0.104,20,54,0.99057,3.19,0.64,11.5,6,"Media"
"57",6,0.395,0,1.4,0.042,7,55,0.99135,3.37,0.38,11.2,4,"Baja"
"58",8.4,0.29,0.29,1.05,0.032,4,55,0.9908,2.91,0.32,11.4,4,"Baja"
"59",7.6,0.26,0.47,1.6,0.068,5,55,0.9944,3.1,0.45,9.6,5,"Baja"
"60",6.9,0.28,0.41,1.4,0.016,6,55,0.98876,3.16,0.4,13.4,5,"Baja"
"61",6,0.19,0.71,1.5,0.152,9,55,0.9927,3.12,0.46,9.8,6,"Media"
"62",7.4,0.36,0.33,1.4,0.025,27,55,0.9915,3.21,0.33,11.2,6,"Media"
"63",6.9,0.19,0.4,1.4,0.036,14,55,0.9909,3.08,0.68,11.5,7,"Alta"
"64",8.8,0.35,0.49,1,0.036,14,56,0.992,2.96,0.33,10.5,4,"Baja"
"65",7,0.14,0.28,1.3,0.026,10,56,0.99352,3.46,0.45,9.9,5,"Baja"
"66",5.9,0.3,0.29,1.1,0.036,23,56,0.9904,3.19,0.38,11.3,5,"Baja"
"67",7.6,0.27,0.34,5,0.04,18,56,0.99084,3.06,0.48,12.4,6,"Media"
"68",6.2,0.41,0.22,1.9,0.023,5,56,0.98928,3.04,0.79,13,7,"Alta"
"69",7.6,0.48,0.37,1.2,0.034,5,57,0.99256,3.05,0.54,10.4,3,"Baja"
"70",6.8,0.705,0.25,3.2,0.048,10,57,0.996,3.36,0.52,9.5,4,"Baja"
"71",5.7,0.26,0.25,10.4,0.02,7,57,0.994,3.39,0.37,10.6,5,"Baja"
"72",5.8,0.2,0.3,1.5,0.031,21,57,0.99115,3.44,0.55,11,6,"Media"
"73",8.3,0.18,0.3,1.1,0.033,20,57,0.99109,3.02,0.51,11,6,"Media"
"74",8.3,0.18,0.3,1.1,0.033,20,57,0.99109,3.02,0.51,11,6,"Media"
"75",8.5,0.16,0.33,1,0.076,17,57,0.9921,3.14,0.46,10.6,6,"Media"
"76",8.5,0.19,0.48,1.1,0.026,23,58,0.99184,2.9,0.5,10.5,6,"Media"
"77",8.5,0.19,0.48,1.1,0.026,23,58,0.99184,2.9,0.5,10.5,6,"Media"
"78",8.2,0.37,0.27,1.7,0.028,10,59,0.9923,2.97,0.48,10.4,5,"Baja"
"79",9.7,0.24,0.45,1.2,0.033,11,59,0.9926,2.74,0.47,10.8,6,"Media"
"80",9.2,0.28,0.41,1,0.042,14,59,0.9922,2.96,0.25,10.5,6,"Media"
"81",5.2,0.155,0.33,1.6,0.028,13,59,0.98975,3.3,0.84,11.9,8,"Alta"
"82",5.2,0.155,0.33,1.6,0.028,13,59,0.98975,3.3,0.84,11.9,8,"Alta"
"83",8,0.55,0.17,8.2,0.04,13,60,0.9956,3.09,0.3,9.5,4,"Baja"
"84",8.3,0.14,0.36,8.8,0.026,13,60,0.9956,3.13,0.35,11.05,5,"Baja"
"85",6.4,0.26,0.4,1.7,0.179,5,60,0.9925,3.09,0.54,10.1,5,"Baja"
"86",6.5,0.24,0.24,1.6,0.046,15,60,0.9928,3.19,0.39,9.8,5,"Baja"
"87",7.7,0.26,0.4,1.1,0.042,9,60,0.9915,2.89,0.5,10.6,5,"Baja"
"88",5.3,0.6,0.34,1.4,0.031,3,60,0.98854,3.27,0.38,13,6,"Media"
"89",6.3,0.24,0.37,1.8,0.031,6,61,0.9897,3.3,0.34,12.2,4,"Baja"
"90",9.2,0.35,0.39,0.9,0.042,15,61,0.9924,2.96,0.28,10.4,4,"Baja"
"91",7,0.31,0.52,1.7,0.029,5,61,0.9918,3.07,0.43,10.4,5,"Baja"
"92",7,0.31,0.52,1.7,0.029,5,61,0.9918,3.07,0.43,10.4,5,"Baja"
"93",6.1,0.24,0.3,1.5,0.045,22,61,0.992,3.31,0.54,10.4,5,"Baja"
"94",8.5,0.25,0.31,2.8,0.032,11,61,0.99189,3.06,0.44,11.5,6,"Media"
"95",6,0.17,0.36,1.7,0.042,14,61,0.99144,3.22,0.54,10.8,6,"Media"
"96",6,0.16,0.36,1.6,0.042,13,61,0.99143,3.22,0.54,10.8,6,"Media"
"97",5.2,0.21,0.31,1.7,0.048,17,61,0.98953,3.24,0.37,12,7,"Alta"
"98",7,0.24,0.18,1.3,0.046,9,62,0.994,3.38,0.47,10.1,4,"Baja"
"99",6.7,0.62,0.24,1.1,0.039,6,62,0.9934,3.41,0.32,10.4,5,"Baja"
"100",7,0.34,0.1,3.5,0.044,17,63,0.9937,3.01,0.39,9.2,5,"Baja"
"101",7,0.34,0.1,3.5,0.044,17,63,0.9937,3.01,0.39,9.2,5,"Baja"
"102",8.1,0.27,0.41,1.45,0.033,11,63,0.9908,2.99,0.56,12,5,"Baja"
"103",7.2,0.15,0.33,1.1,0.027,16,63,0.9937,3.37,0.4,9.9,5,"Baja"
"104",5.9,0.415,0.02,0.8,0.038,22,63,0.9932,3.36,0.36,9.3,5,"Baja"
"105",7.9,0.35,0.28,12.9,0.032,13,63,0.9932,2.99,0.43,13,6,"Media"
"106",8.6,0.16,0.49,7.3,0.043,9,63,0.9953,3.13,0.59,10.5,6,"Media"
"107",7.2,0.24,0.36,2,0.029,21,63,0.99076,3.13,0.63,12.5,6,"Media"
"108",7.2,0.24,0.36,2,0.029,21,63,0.99076,3.13,0.63,12.5,6,"Media"
"109",7,0.22,0.3,1.4,0.04,14,63,0.98985,3.2,0.33,12,6,"Media"
"110",7.9,0.25,0.35,6.7,0.039,22,64,0.99362,2.93,0.49,10.7,5,"Baja"
"111",5.9,0.415,0.13,1.4,0.04,11,64,0.9922,3.29,0.52,10.5,5,"Baja"
"112",5.8,0.415,0.13,1.4,0.04,11,64,0.9922,3.29,0.52,10.5,5,"Baja"
"113",7.7,0.15,0.29,1.3,0.029,10,64,0.9932,3.35,0.39,10.1,5,"Baja"
"114",7.2,0.24,0.34,1.1,0.045,3,64,0.9913,3.23,0.51,11.4,5,"Baja"
"115",7.3,0.145,0.33,1.1,0.042,14,64,0.99012,3.1,0.37,11.8,7,"Alta"
"116",6.8,0.73,0.2,6.6,0.054,25,65,0.99324,3.12,0.28,11.1,4,"Baja"
"117",7.2,0.32,0.47,5.1,0.044,19,65,0.991,3.03,0.41,12.6,4,"Baja"
"118",6,0.35,0.46,0.9,0.033,9,65,0.98934,3.24,0.35,12.1,4,"Baja"
"119",6.8,0.32,0.43,1.6,0.05,4,65,0.99346,3.27,0.47,10.7,5,"Baja"
"120",6.1,0.22,0.38,2.8,0.144,12,65,0.9908,2.95,0.64,11.4,6,"Media"
"121",5.7,0.28,0.28,2.2,0.019,15,65,0.9902,3.06,0.52,11.2,6,"Media"
"122",7.1,0.23,0.39,1.6,0.032,12,65,0.9898,3.25,0.4,12.7,7,"Alta"
"123",6,0.1,0.24,1.1,0.041,15,65,0.9927,3.61,0.61,10.3,7,"Alta"
"124",7.1,0.32,0.32,11,0.038,16,66,0.9937,3.24,0.4,11.5,3,"Baja"
"125",6.5,0.36,0.32,1.1,0.031,13,66,0.9916,3.1,0.46,10.6,5,"Baja"
"126",5.3,0.21,0.29,0.7,0.028,11,66,0.99215,3.3,0.4,9.8,5,"Baja"
"127",6.5,0.21,0.28,1.4,0.046,26,66,0.99199,3.43,0.48,11.1,6,"Media"
"128",6.3,0.16,0.22,1.3,0.046,18,66,0.99307,3.61,0.55,10.3,6,"Media"
"129",6.8,0.32,0.33,0.7,0.027,15,66,0.9899,3.11,0.31,11.8,6,"Media"
"130",6.5,0.26,0.39,1.4,0.02,12,66,0.99089,3.25,0.75,11.3,7,"Alta"
"131",8.7,0.31,0.21,5.6,0.039,28,67,0.99328,2.96,0.52,11,4,"Baja"
"132",6.8,0.32,0.34,1.2,0.044,14,67,0.9919,3.05,0.47,10.6,4,"Baja"
"133",9.4,0.16,0.23,1.6,0.042,14,67,0.9942,3.07,0.32,9.5,5,"Baja"
"134",8.1,0.31,0.24,1.6,0.032,10,67,0.9924,3.08,0.47,10.5,5,"Baja"
"135",6.4,0.43,0.32,1.4,0.048,10,67,0.992,3.08,0.41,11.4,5,"Baja"
"136",7,0.45,0.34,19.8,0.04,12,67,0.9976,3.07,0.38,11,6,"Media"
"137",7,0.45,0.34,19.8,0.04,12,67,0.9976,3.07,0.38,11,6,"Media"
"138",6.6,0.38,0.28,2.8,0.043,17,67,0.98924,3.21,0.47,13.2,6,"Media"
"139",6.6,0.26,0.29,1.4,0.039,13,67,0.9915,3.05,0.49,10.9,6,"Media"
"140",6,0.2,0.26,1.1,0.033,38,67,0.98954,3.14,0.38,11.5,6,"Media"
"141",5.6,0.19,0.39,1.1,0.043,17,67,0.9918,3.23,0.53,10.3,6,"Media"
"142",5.6,0.175,0.29,0.8,0.043,20,67,0.99112,3.28,0.48,9.9,6,"Media"
"143",6.8,0.2,0.27,1.2,0.034,19,68,0.9902,3.14,0.37,11.7,4,"Baja"
"144",5.6,0.245,0.25,9.7,0.032,12,68,0.994,3.31,0.34,10.5,5,"Baja"
"145",5.2,0.17,0.27,0.7,0.03,11,68,0.99218,3.3,0.41,9.8,5,"Baja"
"146",6.4,0.15,0.25,7.8,0.05,13,68,0.99394,3.16,0.4,9.9,6,"Media"
"147",6.6,0.25,0.32,5.6,0.039,15,68,0.99163,2.96,0.52,11.1,6,"Media"
"148",6.8,0.32,0.21,2.2,0.044,15,68,0.9932,3.17,0.39,9.4,6,"Media"
"149",6.8,0.32,0.21,2.2,0.044,15,68,0.9932,3.17,0.39,9.4,6,"Media"
"150",5.8,0.22,0.29,1.3,0.036,25,68,0.98865,3.24,0.35,12.6,6,"Media"
"151",5.5,0.16,0.31,1.2,0.026,31,68,0.9898,3.33,0.44,11.6333333333333,6,"Media"
"152",5.5,0.16,0.31,1.2,0.026,31,68,0.9898,3.33,0.44,11.65,6,"Media"
"153",6.3,0.34,0.31,6,0.02,18,68,0.98981,3.22,0.29,13.4,7,"Alta"
"154",5.5,0.42,0.09,1.6,0.019,18,68,0.9906,3.33,0.51,11.4,7,"Alta"
"155",6.4,0.125,0.36,1.4,0.044,22,68,0.99014,3.15,0.5,11.7,7,"Alta"
"156",5.6,0.34,0.1,1.3,0.031,20,68,0.9906,3.36,0.51,11.2,7,"Alta"
"157",6.5,0.38,0.53,1.4,0.142,5,69,0.9926,3.14,0.52,10.1,4,"Baja"
"158",8.2,0.26,0.44,1.3,0.046,7,69,0.9944,3.14,0.62,10.2,4,"Baja"
"159",5.8,0.27,0.26,3.5,0.071,26,69,0.98994,3.1,0.38,11.5,6,"Media"
"160",6.1,0.125,0.25,3.3,0.04,10,69,0.9934,3.54,0.59,10.1,6,"Media"
"161",5.5,0.315,0.38,2.6,0.033,10,69,0.9909,3.12,0.59,10.8,6,"Media"
"162",7.3,0.24,0.43,2,0.021,20,69,0.99,3.08,0.56,12.2,6,"Media"
"163",7.4,0.36,0.23,1.9,0.017,31,69,0.9892,2.93,0.36,12.5,6,"Media"
"164",5.8,0.23,0.27,1.8,0.043,24,69,0.9933,3.38,0.31,9.4,6,"Media"
"165",5.2,0.28,0.29,1.1,0.028,18,69,0.99168,3.24,0.54,10,6,"Media"
"166",7,0.32,0.34,1.3,0.042,20,69,0.9912,3.31,0.65,12,7,"Alta"
"167",8.7,0.3,0.59,1.7,0.046,10,70,0.99373,3.06,0.56,10.8,4,"Baja"
"168",6.4,0.41,0.01,6.1,0.048,20,70,0.99362,3.19,0.42,10,5,"Baja"
"169",6.4,0.41,0.01,6.1,0.048,20,70,0.99362,3.19,0.42,10,5,"Baja"
"170",8,0.3,0.36,11,0.034,8,70,0.99354,3.05,0.41,12.2,6,"Media"
"171",6.2,0.32,0.32,2.2,0.036,15,70,0.9899,3.16,0.48,12.7,6,"Media"
"172",7,0.28,0.36,1,0.035,8,70,0.9899,3.09,0.46,12.1,6,"Media"
"173",5.8,0.17,0.36,1.3,0.036,11,70,0.99202,3.43,0.68,10.4,7,"Alta"
"174",5.8,0.315,0.27,1.55,0.026,15,70,0.98994,3.37,0.4,11.9,8,"Alta"
"175",9,0.55,0.3,8.1,0.026,14,71,0.993,2.94,0.36,11.8,5,"Baja"
"176",9,0.55,0.3,8.1,0.026,14,71,0.993,2.94,0.36,11.8,5,"Baja"
"177",8.2,0.26,0.33,2.6,0.053,11,71,0.99402,2.89,0.49,9.5,5,"Baja"
"178",8.7,0.24,0.35,0.6,0.042,11,71,0.9926,3.08,0.38,10.6,5,"Baja"
"179",8.7,0.24,0.35,0.6,0.042,11,71,0.9926,3.08,0.38,10.6,5,"Baja"
"180",7.1,0.18,0.26,1.3,0.041,20,71,0.9926,3.04,0.74,9.9,6,"Media"
"181",7.1,0.18,0.26,1.3,0.041,20,71,0.9926,3.04,0.74,9.9,6,"Media"
"182",7,0.22,0.26,1.1,0.037,20,71,0.9902,3.1,0.38,11.7,6,"Media"
"183",7,0.17,0.42,1,0.075,19,71,0.99103,3.32,0.62,11.4,6,"Media"
"184",5.7,0.18,0.36,1.2,0.046,9,71,0.99199,3.7,0.68,10.9,7,"Alta"
"185",6.7,0.19,0.39,1,0.032,14,71,0.98912,3.31,0.38,13,7,"Alta"
"186",6.7,0.19,0.39,1,0.032,14,71,0.98912,3.31,0.38,13,7,"Alta"
"187",8.3,0.27,0.45,1.3,0.048,8,72,0.9944,3.08,0.61,10.3,4,"Baja"
"188",7.1,0.39,0.35,12.5,0.044,26,72,0.9941,3.17,0.29,11.6,5,"Baja"
"189",8.3,0.25,0.33,2.5,0.053,12,72,0.99404,2.89,0.48,9.5,5,"Baja"
"190",7.6,0.27,0.32,1.2,0.043,23,72,0.99236,3.06,0.68,10.5,5,"Baja"
"191",8.8,0.2,0.28,1.1,0.018,18,72,0.9926,2.97,0.35,10.4,5,"Baja"
"192",5.6,0.35,0.37,1,0.038,6,72,0.9902,3.37,0.34,11.4,5,"Baja"
"193",6.6,0.36,0.24,0.9,0.038,15,72,0.99066,3.23,0.39,11,5,"Baja"
"194",5.6,0.46,0.24,4.8,0.042,24,72,0.9908,3.29,0.37,12.6,6,"Media"
"195",6,0.26,0.26,2.2,0.035,10,72,0.989465,3.11,0.48,12.15,6,"Media"
"196",6.8,0.26,0.26,2,0.019,23.5,72,0.99041,3.16,0.47,11.8,6,"Media"
"197",5.1,0.39,0.21,1.7,0.027,15,72,0.9894,3.5,0.45,12.5,6,"Media"
"198",6.6,0.23,0.32,1.5,0.041,8,72,0.98949,3.22,0.39,12.7,6,"Media"
"199",8.6,0.23,0.46,1,0.054,9,72,0.9941,2.95,0.49,9.1,6,"Media"
"200",6.5,0.46,0.31,5,0.027,15,72,0.99165,3.26,0.6,11.5,7,"Alta"
"201",6,0.13,0.36,1.6,0.052,23,72,0.98974,3.1,0.5,11.5,7,"Alta"
"202",7.1,0.18,0.49,1.3,0.033,12,72,0.99072,3.05,0.53,11.3,7,"Alta"
"203",7.9,0.18,0.33,1.2,0.033,20,72,0.9922,3.12,0.38,10.5,7,"Alta"
"204",9,0.31,0.48,6.6,0.043,11,73,0.9938,2.9,0.38,11.6,5,"Baja"
"205",5.1,0.305,0.13,1.75,0.036,17,73,0.99,3.4,0.51,12.3333333333333,5,"Baja"
"206",9.2,0.34,0.27,1.2,0.026,17,73,0.9921,3.08,0.39,10.8,5,"Baja"
"207",7.2,0.14,0.35,1.2,0.036,15,73,0.9938,3.46,0.39,9.9,5,"Baja"
"208",5.8,0.15,0.31,5.9,0.036,7,73,0.99152,3.2,0.43,11.9,6,"Media"
"209",7,0.36,0.25,5.7,0.015,14,73,0.98963,2.82,0.59,13.2,6,"Media"
"210",7.4,0.26,0.29,3.7,0.048,14,73,0.9915,3.06,0.45,11.4,6,"Media"
"211",5.9,0.44,0.36,2.5,0.03,12,73,0.99201,3.22,0.48,10.8,6,"Media"
"212",6.6,0.17,0.3,1.1,0.031,13,73,0.99095,3.17,0.58,11,6,"Media"
"213",7.1,0.15,0.34,1,0.033,27,73,0.98974,3.24,0.41,12.2,6,"Media"
"214",6.2,0.18,0.3,1,0.031,23,73,0.99032,3.23,0.52,11.3,6,"Media"
"215",6.2,0.2,0.31,1,0.031,22,73,0.99035,3.24,0.52,11.3,6,"Media"
"216",8.2,0.23,0.49,0.9,0.057,15,73,0.9928,3.07,0.38,10.4,6,"Media"
"217",7.2,0.33,0.22,4.5,0.031,10,73,0.99076,2.97,0.52,12.2,7,"Alta"
"218",6.2,0.36,0.27,3.2,0.032,13,73,0.98942,2.9,0.69,12.6,7,"Alta"
"219",6.3,0.36,0.28,2.5,0.035,18,73,0.98868,3.1,0.47,12.8,7,"Alta"
"220",5.6,0.24,0.34,2,0.041,14,73,0.98981,3.04,0.45,11.6,7,"Alta"
"221",7.2,0.18,0.31,1.1,0.045,20,73,0.9925,3.32,0.4,10.8,7,"Alta"
"222",5.6,0.12,0.33,2.9,0.044,21,73,0.98896,3.17,0.32,12.9,8,"Alta"
"223",5.6,0.12,0.33,2.9,0.044,21,73,0.98896,3.17,0.32,12.9,8,"Alta"
"224",5.3,0.47,0.1,1.3,0.036,11,74,0.99082,3.48,0.54,11.2,4,"Baja"
"225",6.5,0.39,0.81,1.2,0.217,14,74,0.9936,3.08,0.53,9.5,5,"Baja"
"226",7.2,0.2,0.38,1,0.037,21,74,0.9918,3.21,0.37,11,5,"Baja"
"227",6.6,0.24,0.38,12.75,0.034,8,74,0.99386,3.1,0.57,12.9,6,"Media"
"228",6.7,0.26,0.29,5.8,0.025,26,74,0.9929,3.28,0.53,11,6,"Media"
"229",6.7,0.31,0.33,2,0.033,12,74,0.99064,3.29,0.65,12.5,6,"Media"
"230",6.1,0.22,0.46,1.8,0.16,34,74,0.9884,3.19,0.33,13.4,6,"Media"
"231",5.2,0.335,0.2,1.7,0.033,17,74,0.99002,3.34,0.48,12.3,6,"Media"
"232",6.2,0.27,0.49,1.4,0.05,20,74,0.9931,3.32,0.44,9.8,6,"Media"
"233",8.3,0.2,0.35,0.9,0.05,12,74,0.992,3.13,0.38,10.5,6,"Media"
"234",5.8,0.18,0.37,1.2,0.036,19,74,0.98853,3.09,0.49,12.7,7,"Alta"
"235",7.3,0.41,0.29,1.8,0.032,26,74,0.98889,2.96,0.35,13,8,"Alta"
"236",5.8,0.36,0.38,0.9,0.037,3,75,0.9904,3.28,0.34,11.4,4,"Baja"
"237",7.5,0.17,0.37,1.5,0.06,18,75,0.9936,3.54,0.88,10.7,5,"Baja"
"238",7.9,0.18,0.37,1.2,0.04,16,75,0.992,3.18,0.63,10.8,5,"Baja"
"239",8.3,0.4,0.38,1.1,0.038,15,75,0.9934,3.03,0.43,9.2,5,"Baja"
"240",7.7,0.275,0.3,1,0.039,19,75,0.992,3.01,0.56,10.7,5,"Baja"
"241",6.7,0.66,0,13,0.033,32,75,0.99551,3.15,0.5,10.7,6,"Media"
"242",6.6,0.44,0.32,3,0.095,13,75,0.98954,3.1,0.63,12.8,6,"Media"
"243",5.5,0.21,0.25,1.2,0.04,18,75,0.99006,3.31,0.56,11.3,6,"Media"
"244",6.2,0.2,0.33,5.4,0.028,21,75,0.99012,3.36,0.41,13.5,7,"Alta"
"245",7,0.17,0.37,1.5,0.028,26,75,0.9922,3.3,0.46,10.8,7,"Alta"
"246",6.5,0.16,0.33,1,0.027,23,75,0.9908,3.3,0.39,11.4,7,"Alta"
"247",6,0.18,0.31,1.4,0.036,14,75,0.99085,3.34,0.58,11.1,8,"Alta"
"248",6.2,0.66,0.48,1.2,0.029,29,75,0.9892,3.33,0.39,12.8,8,"Alta"
"249",6.2,0.66,0.48,1.2,0.029,29,75,0.9892,3.33,0.39,12.8,8,"Alta"
"250",7.9,0.28,0.32,3.6,0.038,9,76,0.992,3.05,0.31,11.7,4,"Baja"
"251",6.1,0.6,0.12,1.8,0.05,11,76,0.99268,3.42,0.48,10.4,4,"Baja"
"252",6.7,0.64,0.3,1.2,0.03,18,76,0.9892,3.16,0.6,12.9,4,"Baja"
"253",6.9,0.28,0.37,9.1,0.037,16,76,0.9948,3.05,0.54,11.1,5,"Baja"
"254",6.9,0.28,0.37,9.1,0.037,16,76,0.9948,3.05,0.54,11.1,5,"Baja"
"255",6.9,0.28,0.37,9.1,0.037,16,76,0.9948,3.05,0.54,11.1,5,"Baja"
"256",9,0.38,0.53,2.1,0.102,19,76,0.99001,2.93,0.57,12.9,5,"Baja"
"257",8.2,0.23,0.4,7.5,0.049,12,76,0.9966,3.06,0.84,9.7,6,"Media"
"258",7,0.2,0.33,4.7,0.03,25,76,0.99202,2.88,0.54,10.5,6,"Media"
"259",6.5,0.13,0.27,2.6,0.035,32,76,0.9914,3.21,0.76,11.3333333333333,6,"Media"
"260",6.5,0.13,0.27,2.6,0.035,32,76,0.9914,3.21,0.76,11.3333333333333,6,"Media"
"261",7,0.25,0.33,2.1,0.021,17,76,0.99021,3.26,0.45,12.3,6,"Media"
"262",7,0.22,0.33,2.1,0.052,15,76,0.993,3.2,0.41,10.6,6,"Media"
"263",6.3,0.32,0.32,1.5,0.037,12,76,0.98993,3.3,0.46,12.3,6,"Media"
"264",6.3,0.37,0.37,1.5,0.024,12,76,0.98876,2.94,0.39,12.3,6,"Media"
"265",6.7,0.2,0.3,1.4,0.025,17,76,0.99104,3.11,0.44,11,6,"Media"
"266",7.6,0.26,0.32,1.3,0.048,23,76,0.9903,2.96,0.46,12,6,"Media"
"267",6.5,0.15,0.32,1.3,0.036,19,76,0.98964,3.18,0.41,12.3,6,"Media"
"268",7.6,0.2,0.26,4.8,0.033,26,76,0.99076,2.98,0.49,12.3,7,"Alta"
"269",6.7,0.19,0.32,3.7,0.041,26,76,0.99173,2.9,0.57,10.5,7,"Alta"
"270",6.9,0.25,0.29,2.4,0.038,28,76,0.99088,3.01,0.36,11.7,7,"Alta"
"271",6.1,0.29,0.27,1.7,0.024,13,76,0.9893,3.21,0.51,12.6,7,"Alta"
"272",5.8,0.24,0.28,1.4,0.038,40,76,0.98711,3.1,0.29,13.9,7,"Alta"
